nome,sku,blingId,arquivo_imagem,fonte,status_imagem
"VIBRADOR PREMIUM 5 - ROXO","3104000004927","16668048716","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 4- ROSA","3104000004926","16668048715","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 3- ROSA","3104000004925","16668048714","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 2- ROSA","3104000004924","16668048712","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 1 - ROSA","3104000004915","16668048710","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM","","16668030377","","SEM_IMAGEM","OCULTO"
"GEL PORRA LOKA SEXY","3104000004908","16668005745","","SEM_IMAGEM","OCULTO"
"FACILITADOR DE ORGASMO UNISSEX 5G","3104000004906","16668003183","","SEM_IMAGEM","OCULTO"
"PALETA DE SOMBRAS - URSINHO YOYO","3104000004885","16667731076","","SEM_IMAGEM","OCULTO"
"BALA GEL 8ML LEITE CONDENSADO","3104000004874","16667213698","","SEM_IMAGEM","OCULTO"
"BALA GEL 8ML COCA-COLA","3104000004873","16667213696","","SEM_IMAGEM","OCULTO"
"BALA GEL 8ML","","16667213252","","SEM_IMAGEM","OCULTO"
"CANETA COMESTIVEL SEXY CREME CONDENSADO","3104000004872","16667199102","","SEM_IMAGEM","OCULTO"
"FÁCIL LUB CHOCOLATE","3104000004846","16667142897","","SEM_IMAGEM","OCULTO"
"FÁCIL LUB","","16667142077","","SEM_IMAGEM","OCULTO"
"LUB K GEL 18G","3104000004844","16667139404","","SEM_IMAGEM","OCULTO"
"GEL ICE CEREJA","3104000004843","16667137820","","SEM_IMAGEM","OCULTO"
"GEL ICE CAPIRINHA","3104000004842","16667137819","","SEM_IMAGEM","OCULTO"
"GEL ICE MENTA","3104000004841","16667137815","","SEM_IMAGEM","OCULTO"
"GEL ICE","","16667136797","","SEM_IMAGEM","OCULTO"
"GEL CARROSEL DOCE DE LEITE","3104000004840","16667134910","","SEM_IMAGEM","OCULTO"
"GEL CARROSEL BEIJINHO","3104000004839","16667134905","","SEM_IMAGEM","OCULTO"
"GEL CARROSEL","","16667133987","","SEM_IMAGEM","OCULTO"
"GEL FOR SEXY LEITE CONDENSADO","3104000004832","16667109943","","SEM_IMAGEM","OCULTO"
"GEL FOR SEXY HOT CARAMELO","3104000004831","16667109939","","SEM_IMAGEM","OCULTO"
"GEL FOR SEXY ICE BLACK","3104000004830","16667109937","","SEM_IMAGEM","OCULTO"
"GEL FOR SEXY","","16667107749","","SEM_IMAGEM","OCULTO"
"GEL HOT MENTA","3104000004829","16667106275","","SEM_IMAGEM","OCULTO"
"GEL SEDENTA POR SENSAÇÃO","3104000004828","16667101666","","SEM_IMAGEM","OCULTO"
"GEL SEDENTA POR CHICLETE","3104000004827","16667101661","","SEM_IMAGEM","OCULTO"
"GEL SEDENTA POR IOGURTE","3104000004826","16667101655","","SEM_IMAGEM","OCULTO"
"GEL SEDENTA","","16667097181","","SEM_IMAGEM","OCULTO"
"GEL MISTERZÃO","3104000004825","16667096390","","SEM_IMAGEM","OCULTO"
"GEL DURATESON","3104000004824","16667094243","","SEM_IMAGEM","OCULTO"
"GEL LAMB PÊSSEGO E CHANTILLY","3104000004823","16667090745","","SEM_IMAGEM","OCULTO"
"GEL LAMB YOGURTE","3104000004822","16667090741","","SEM_IMAGEM","OCULTO"
"GEL LAMB HORTELÃ","3104000004821","16667090739","","SEM_IMAGEM","OCULTO"
"GEL LAMB","","16667088341","","SEM_IMAGEM","OCULTO"
"GEL YUMMY FRAMBOESA","3104000004820","16667066805","","SEM_IMAGEM","OCULTO"
"GEL YUMMY CHICLETE","3104000004819","16667066803","","SEM_IMAGEM","OCULTO"
"GEL YUMMY VINHO TINTO","3104000004818","16667066801","","SEM_IMAGEM","OCULTO"
"GEL YUMMY MORANGO","3104000004817","16667066799","","SEM_IMAGEM","OCULTO"
"GEL YUMMY CAIPIRINHA","3104000004816","16667066796","","SEM_IMAGEM","OCULTO"
"GEL YUMMY ICE MENTA","3104000004815","16667066790","","SEM_IMAGEM","OCULTO"
"GEL YUMMY MENTA","3104000004814","16667066788","","SEM_IMAGEM","OCULTO"
"GEL YUMMY","","16667064752","","SEM_IMAGEM","OCULTO"
"BEIJO FRESH MORANGO C/ CANELA","3104000004812","16667062437","","SEM_IMAGEM","OCULTO"
"BEIJO FRESH UVA","3104000004811","16667062428","","SEM_IMAGEM","OCULTO"
